"","survived","pclass","sex","age"
"1",1,1,"female",29
"2",1,1,"male",0.9167
"3",0,1,"female",2
"4",0,1,"male",30
"5",0,1,"female",25
"6",1,1,"male",48
"7",1,1,"female",63
"8",0,1,"male",39
"9",1,1,"female",53
"10",0,1,"male",71
"11",0,1,"male",47
"12",1,1,"female",18
"13",1,1,"female",24
"14",1,1,"female",26
"15",1,1,"male",80
"16",0,1,"male",29.8811345124283
"17",0,1,"male",24
"18",1,1,"female",50
"19",1,1,"female",32
"20",0,1,"male",36
"21",1,1,"male",37
"22",1,1,"female",47
"23",1,1,"male",26
"24",1,1,"female",42
"25",1,1,"female",29
"26",0,1,"male",25
"27",1,1,"male",25
"28",1,1,"female",19
"29",1,1,"female",35
"30",1,1,"male",28
"31",0,1,"male",45
"32",1,1,"male",40
"33",1,1,"female",30
"34",1,1,"female",58
"35",0,1,"male",42
"36",1,1,"female",45
"37",1,1,"female",22
"38",1,1,"male",29.8811345124283
"39",0,1,"male",41
"40",0,1,"male",48
"41",0,1,"male",29.8811345124283
"42",1,1,"female",44
"43",1,1,"female",59
"44",1,1,"female",60
"45",1,1,"female",41
"46",0,1,"male",45
"47",0,1,"male",29.8811345124283
"48",1,1,"male",42
"49",1,1,"female",53
"50",1,1,"male",36
"51",1,1,"female",58
"52",0,1,"male",33
"53",0,1,"male",28
"54",0,1,"male",17
"55",1,1,"male",11
"56",1,1,"female",14
"57",1,1,"male",36
"58",1,1,"female",36
"59",0,1,"male",49
"60",1,1,"female",29.8811345124283
"61",0,1,"male",36
"62",1,1,"female",76
"63",0,1,"male",46
"64",1,1,"female",47
"65",1,1,"male",27
"66",1,1,"female",33
"67",1,1,"female",36
"68",1,1,"female",30
"69",1,1,"male",45
"70",1,1,"female",29.8811345124283
"71",0,1,"male",29.8811345124283
"72",0,1,"male",27
"73",1,1,"female",26
"74",1,1,"female",22
"75",0,1,"male",29.8811345124283
"76",0,1,"male",47
"77",1,1,"female",39
"78",0,1,"male",37
"79",1,1,"female",64
"80",1,1,"female",55
"81",0,1,"male",29.8811345124283
"82",0,1,"male",70
"83",1,1,"female",36
"84",1,1,"female",64
"85",0,1,"male",39
"86",1,1,"female",38
"87",1,1,"male",51
"88",1,1,"male",27
"89",1,1,"female",33
"90",0,1,"male",31
"91",1,1,"female",27
"92",1,1,"male",31
"93",1,1,"female",17
"94",1,1,"male",53
"95",1,1,"male",4
"96",1,1,"female",54
"97",0,1,"male",50
"98",1,1,"female",27
"99",1,1,"female",48
"100",1,1,"female",48
"101",1,1,"male",49
"102",0,1,"male",39
"103",1,1,"female",23
"104",1,1,"female",38
"105",1,1,"female",54
"106",0,1,"female",36
"107",0,1,"male",29.8811345124283
"108",1,1,"female",29.8811345124283
"109",1,1,"female",29.8811345124283
"110",1,1,"male",36
"111",0,1,"male",30
"112",1,1,"female",24
"113",1,1,"female",28
"114",1,1,"female",23
"115",0,1,"male",19
"116",0,1,"male",64
"117",1,1,"female",60
"118",1,1,"female",30
"119",0,1,"male",29.8811345124283
"120",1,1,"male",50
"121",1,1,"male",43
"122",1,1,"female",29.8811345124283
"123",1,1,"female",22
"124",1,1,"male",60
"125",1,1,"female",48
"126",0,1,"male",29.8811345124283
"127",0,1,"male",37
"128",1,1,"female",35
"129",0,1,"male",47
"130",1,1,"female",35
"131",1,1,"female",22
"132",1,1,"female",45
"133",0,1,"male",24
"134",1,1,"male",49
"135",1,1,"female",29.8811345124283
"136",0,1,"male",71
"137",1,1,"male",53
"138",1,1,"female",19
"139",0,1,"male",38
"140",1,1,"female",58
"141",1,1,"male",23
"142",1,1,"female",45
"143",0,1,"male",46
"144",1,1,"male",25
"145",1,1,"female",25
"146",1,1,"male",48
"147",1,1,"female",49
"148",0,1,"male",29.8811345124283
"149",0,1,"male",45
"150",1,1,"female",35
"151",0,1,"male",40
"152",1,1,"male",27
"153",1,1,"male",29.8811345124283
"154",1,1,"female",24
"155",0,1,"male",55
"156",1,1,"female",52
"157",0,1,"male",42
"158",0,1,"male",29.8811345124283
"159",0,1,"male",55
"160",1,1,"female",16
"161",1,1,"female",44
"162",1,1,"female",51
"163",0,1,"male",42
"164",1,1,"female",35
"165",1,1,"male",35
"166",1,1,"male",38
"167",0,1,"male",29.8811345124283
"168",1,1,"female",35
"169",1,1,"female",38
"170",0,1,"female",50
"171",1,1,"male",49
"172",0,1,"male",46
"173",0,1,"male",50
"174",0,1,"male",32.5
"175",0,1,"male",58
"176",0,1,"male",41
"177",1,1,"female",29.8811345124283
"178",1,1,"male",42
"179",1,1,"female",45
"180",0,1,"male",29.8811345124283
"181",1,1,"female",39
"182",1,1,"female",49
"183",1,1,"female",30
"184",1,1,"male",35
"185",0,1,"male",29.8811345124283
"186",0,1,"male",42
"187",1,1,"female",55
"188",1,1,"female",16
"189",1,1,"female",51
"190",0,1,"male",29
"191",1,1,"female",21
"192",0,1,"male",30
"193",1,1,"female",58
"194",1,1,"female",15
"195",0,1,"male",30
"196",1,1,"female",16
"197",1,1,"male",29.8811345124283
"198",0,1,"male",19
"199",1,1,"female",18
"200",1,1,"female",24
"201",0,1,"male",46
"202",0,1,"male",54
"203",1,1,"male",36
"204",0,1,"male",28
"205",1,1,"female",29.8811345124283
"206",0,1,"male",65
"207",0,1,"male",44
"208",1,1,"female",33
"209",1,1,"female",37
"210",1,1,"male",30
"211",0,1,"male",55
"212",0,1,"male",47
"213",0,1,"male",37
"214",1,1,"female",31
"215",1,1,"female",23
"216",0,1,"male",58
"217",1,1,"female",19
"218",0,1,"male",64
"219",1,1,"female",39
"220",1,1,"male",29.8811345124283
"221",1,1,"female",22
"222",0,1,"male",65
"223",0,1,"male",28.5
"224",0,1,"male",29.8811345124283
"225",0,1,"male",45.5
"226",0,1,"male",23
"227",0,1,"male",29
"228",1,1,"female",22
"229",0,1,"male",18
"230",1,1,"female",17
"231",1,1,"female",30
"232",1,1,"male",52
"233",0,1,"male",47
"234",1,1,"female",56
"235",0,1,"male",38
"236",1,1,"male",29.8811345124283
"237",0,1,"male",22
"238",0,1,"male",29.8811345124283
"239",1,1,"female",43
"240",0,1,"male",31
"241",1,1,"male",45
"242",0,1,"male",29.8811345124283
"243",1,1,"female",33
"244",0,1,"male",46
"245",0,1,"male",36
"246",1,1,"female",33
"247",0,1,"male",55
"248",1,1,"female",54
"249",0,1,"male",33
"250",1,1,"male",13
"251",1,1,"female",18
"252",1,1,"female",21
"253",0,1,"male",61
"254",1,1,"female",48
"255",1,1,"male",29.8811345124283
"256",1,1,"female",24
"257",1,1,"male",29.8811345124283
"258",1,1,"female",35
"259",1,1,"female",30
"260",1,1,"male",34
"261",1,1,"female",40
"262",1,1,"male",35
"263",0,1,"male",50
"264",1,1,"female",39
"265",1,1,"male",56
"266",1,1,"male",28
"267",0,1,"male",56
"268",0,1,"male",56
"269",0,1,"male",24
"270",0,1,"male",29.8811345124283
"271",1,1,"female",18
"272",1,1,"male",24
"273",1,1,"female",23
"274",1,1,"male",6
"275",1,1,"male",45
"276",1,1,"female",40
"277",0,1,"male",57
"278",1,1,"female",29.8811345124283
"279",1,1,"male",32
"280",0,1,"male",62
"281",1,1,"male",54
"282",1,1,"female",43
"283",1,1,"female",52
"284",0,1,"male",29.8811345124283
"285",1,1,"female",62
"286",0,1,"male",67
"287",0,1,"female",63
"288",0,1,"male",61
"289",1,1,"female",48
"290",1,1,"female",18
"291",0,1,"male",52
"292",1,1,"female",39
"293",1,1,"male",48
"294",1,1,"female",29.8811345124283
"295",0,1,"male",49
"296",1,1,"male",17
"297",1,1,"female",39
"298",1,1,"female",29.8811345124283
"299",1,1,"male",31
"300",0,1,"male",40
"301",0,1,"male",61
"302",0,1,"male",47
"303",1,1,"female",35
"304",0,1,"male",64
"305",1,1,"female",60
"306",0,1,"male",60
"307",0,1,"male",54
"308",0,1,"male",21
"309",1,1,"female",55
"310",1,1,"female",31
"311",0,1,"male",57
"312",1,1,"female",45
"313",0,1,"male",50
"314",0,1,"male",27
"315",1,1,"female",50
"316",1,1,"female",21
"317",0,1,"male",51
"318",1,1,"male",21
"319",0,1,"male",29.8811345124283
"320",1,1,"female",31
"321",1,1,"male",29.8811345124283
"322",0,1,"male",62
